d Seagate ST238R    04 0615 0300 0300 0670 02
d Seagate ST251     06 0820 0820 0820 0820 02
d Seagate ST251R    04 0820 0820 0820 0820 02
d Seagate ST277R    06 0820 0820 0820 0820 02
d Seagate ST412     04 0306 0064 0128 0306 01
d Seagate ST506     04 0153 0064 0128 0153 00
d Seagate ST4026    04 0615 0300 0300 0670 02
d Seagate ST4038    05 0733 0350 0350 0733 02
d Seagate ST4051    05 0977 0977 0977 0977 02
d Seagate ST4053    05 1024 1024 1024 1024 02
d Seagate ST4077R   05 1024 1024 1024 1024 02
d Seagate ST4096    09 1024 1024 1024 1024 01
d Seagate ST4144R   09 1024 1024 1024 1024 02

d Shugart SA706     02 0306 0306 0306 0306 00
d Shugart SA712     04 0306 0306 0306 0306 01

d Tandon TM252      04 0306 0306 0306 0306 02
d Tandon TM501      02 0306 0306 0306 0306 02
d Tandon TM502      04 0306 0306 0306 0306 02
d Tandon TM602S     04 0153 0128 0153 0153 02
d Tandon TM603S     06 0153 0128 0153 0153 02
d Tandon TM603SE    06 0230 0128 0128 0230 02
d Tandon TM755      05 0980 0980 0980 0980 02

d Tulin TL226       04 0640 0640 0640 0650 02
d Tulin TL240       06 0640 0640 0640 0650 02
